Title:,"Time Series, Area-Averaged of Carbon Monoxide, Mole Fraction in Air (Daytime/Ascending, AIRS-only) (daily)"
2015-03-13,163.631265
2015-03-14,159.139451
2015-03-15,143.596199
2015-03-16,158.119926
2015-03-17,154.104921
2015-03-18,150.221805
2015-03-19,155.938435
2015-03-20,150.333224
2015-03-21,156.706434
2015-03-22,155.970321
2015-03-23,158.572947
2015-03-24,148.444205
2015-03-25,153.236533
2015-03-26,146.706377
2015-03-27,153.01349
2015-03-28,153.582317
2015-03-29,153.317546
2015-03-30,152.227991
2015-03-31,148.441807
2015-04-01,147.278887
2015-04-02,134.063028
2015-04-03,143.927262
2015-04-04,144.980123
2015-04-05,150.898962
2015-04-06,151.012801
2015-04-07,156.69153
2015-04-08,149.152266
2015-04-09,149.833381
2015-04-10,152.991872
2015-04-11,141.867565
2015-04-12,158.353696
2015-04-13,153.233019
2015-04-14,137.043215
2015-04-15,158.708844
2015-04-16,136.567676
2015-04-17,149.760815
2015-04-18,137.99269
2015-04-19,152.431074
2015-04-20,142.743696
2015-04-21,154.370752
2015-04-22,157.534932
2015-04-23,161.812374
2015-04-24,152.533471
2015-04-25,157.431855
2015-04-26,147.791679
2015-04-27,137.672496
2015-04-28,141.398987
2015-04-29,135.583348
2015-04-30,141.539468
2015-05-01,143.139737
2015-05-02,138.245885
2015-05-03,141.761807
2015-05-04,127.815978
2015-05-05,138.330196
2015-05-06,131.229411
2015-05-07,140.053001
2015-05-08,139.831915
2015-05-09,141.025773
2015-05-10,132.904466
2015-05-11,133.274608
2015-05-12,133.935382
2015-05-13,122.200491
2015-05-14,131.021922
2015-05-15,125.003598
2015-05-16,125.054829
2015-05-17,129.137417
2015-05-18,127.604234
2015-05-19,128.338929
2015-05-20,134.42945
2015-05-21,129.44283
2015-05-22,121.061613
2015-05-23,133.524546
2015-05-24,127.635908
2015-05-25,127.258396
2015-05-26,125.728944
2015-05-27,115.313427
2015-05-28,115.556414
2015-05-29,111.441505
2015-05-30,116.493449
2015-05-31,115.311643
2015-06-01,122.775553
2015-06-02,124.854936
2015-06-03,117.803802
2015-06-04,111.023448
2015-06-05,107.972598
2015-06-06,122.196481
2015-06-07,124.197887
2015-06-08,115.70716
2015-06-09,111.048069
2015-06-10,112.97608
2015-06-11,111.286394
2015-06-12,107.293567
2015-06-13,116.999191
2015-06-14,118.120545
2015-06-15,109.828878
2015-06-16,112.76004
2015-06-17,110.520624
2015-06-18,111.902236
2015-06-19,114.205683
